N1108,DE,ALTERADO,PON,obs,PORTAS OCUPADAS,PORTAS TOTAL,ESTADO,MUNICIPIO,LOCALIDADE,TIPOLOCAL,LONGITUDE,LATITUDE,NOMECOMPLETO,STATUS,SISTEMADELOCAIS,DATADECRIACAO,DATADEATIVACAO,DATAPRIMEIROCLIENTE,DATASUBSTITUICAO,FINALIDADE,PROPRIEDADE,NUMEROLOTE,LOCALREFERENCIA,LOGRADOUROCCE,IDLOGRADOUROCCE,BAIRROCCE,IDBAIRROCCE,LOCALIDADECCE,MUNICIPIOCCE,ESTADOCCE,CEPCCE,CODLOGRADOUROGIS,LOGRADOUROGIS,FIDGTECH,NOMEGTECH,DESIGNACAODOFORNECEDOR,COMPRIMENTOMAXDROP,LOCALIDADECTO,STATUSCERTIFICACAO,PATRIMONIO,LOCALDEINSTALACAO
D0046,CTO-CMP-00012,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,181393","-22,646292",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00012,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,674,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0048,CTO-CMP-00013,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,181026","-22,645888",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00013,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,738,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0052,CTO-CMP-00014,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,179923","-22,64471",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00014,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,919,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0055,CTO-CMP-00015,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,179316","-22,644045",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00015,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1027,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0058,CTO-CMP-00016,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,178697","-22,643374",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00016,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1125,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0061,CTO-CMP-00017,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,178192","-22,64285",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00017,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1206,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0062,CTO-CMP-00018,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,177897","-22,642519",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00018,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1254,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0064,CTO-CMP-00019,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D0066,CTO-CMP-00020,,,ok,2,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,17707","-22,641656",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00020,EXISTENTE,Algar Telecom,"44699,63058",,44956,,,FRANQUEADO,1374,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0068,CTO-CMP-00021,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,176633","-22,641181",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00021,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1448,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0070,CTO-CMP-00022,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,176223","-22,64074",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00022,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1500,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0076,CTO-CMP-00023,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,1748","-22,639221",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00023,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1717,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0078,CTO-CMP-00024,,,caixa de emenda,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,174425","-22,638787",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00024,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1753,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0079,CTO-CMP-00025,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,174191","-22,638536",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00025,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1822,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
