N1108,DE,ALTERADO,PON,obs,PORTAS OCUPADAS,PORTAS TOTAL,ESTADO,MUNICIPIO,LOCALIDADE,TIPOLOCAL,LONGITUDE,LATITUDE,NOMECOMPLETO,STATUS,SISTEMADELOCAIS,DATADECRIACAO,DATADEATIVACAO,DATAPRIMEIROCLIENTE,DATASUBSTITUICAO,FINALIDADE,PROPRIEDADE,NUMEROLOTE,LOCALREFERENCIA,LOGRADOUROCCE,IDLOGRADOUROCCE,BAIRROCCE,IDBAIRROCCE,LOCALIDADECCE,MUNICIPIOCCE,ESTADOCCE,CEPCCE,CODLOGRADOUROGIS,LOGRADOUROGIS,FIDGTECH,NOMEGTECH,DESIGNACAODOFORNECEDOR,COMPRIMENTOMAXDROP,LOCALIDADECTO,STATUSCERTIFICACAO,PATRIMONIO,LOCALDEINSTALACAO
D1213,CTO-CMP-00160,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191531","-22,650304",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00160,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1475,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1217,CTO-CMP-00161,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190385","-22,650821",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00161,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1490,,RUA SANTA GERTRUDES,395365,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1221,CTO-CMP-00162,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189199","-22,65134",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00162,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1702,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1227,CTO-CMP-00163,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187493","-22,652173",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00163,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1911,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1234,CTO-CMP-00164,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185564","-22,653192",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00164,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,2128,,AVENIDA RAUL VERONEZI,396418,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1237,CTO-CMP-00165,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18481","-22,653488",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00165,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,2196,,AVENIDA RAUL VERONEZI,396418,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1240,CTO-CMP-00166,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,183959","-22,65383",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00166,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,207,,AVENIDA RAUL VERONEZI,396418,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1259,CTO-CMP-00167,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,19245","-22,651415",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00167,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1385,,AVENIDA RAUL VERONEZI,396418,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1261,CTO-CMP-00168,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,193226","-22,651323",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00168,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1313,,AVENIDA RAUL VERONEZI,396418,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1266,CTO-CMP-00169,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,195122","-22,650782",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00169,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1029,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1271,CTO-CMP-00170,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,195989","-22,650385",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00170,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,921,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1274,CTO-CMP-00171,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,197127","-22,64988",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00171,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,777,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1277,CTO-CMP-00172,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,197998","-22,649492",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00172,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,665,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1280,CTO-CMP-00173,,,ok,2,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,198872","-22,649085",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00173,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,595,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1289,CTO-CMP-00174,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,20173","-22,647721",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00174,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,271,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1292,CTO-CMP-00175,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202398","-22,647327",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00175,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,167,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1295,CTO-CMP-00176,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,20323","-22,646854",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00176,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,69,,RUA FRANCISCO DE MARIO,395350,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1298,CTO-CMP-00177,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191916","-22,651198",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00177,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1519,,RUA MAX HERGERT,396139,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1309,CTO-CMP-00178,,,ok,2,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,195662","-22,649512",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00178,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1089,,RUA MAX HERGERT,396139,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1312,CTO-CMP-00179,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,196716","-22,649015",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00179,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,973,,RUA MAX HERGERT,396139,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1315,CTO-CMP-00180,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,201039","-22,646075",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00180,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,378,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1319,CTO-CMP-00181,,,ok,3,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,201739","-22,645744",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00181,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,335,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1324,CTO-CMP-00182,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202715","-22,645324",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00182,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,255,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1325,CTO-CMP-00183,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200844","-22,647166",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00183,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,481,,RUA MAX HERGERT,396139,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1328,CTO-CMP-00184,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,20174","-22,646656",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00184,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,373,,RUA MAX HERGERT,396139,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1332,CTO-CMP-00185,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202896","-22,645946",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00185,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,267,,RUA MAX HERGERT,396139,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1334,CTO-CMP-00186,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200918","-22,645065",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00186,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,300,,RUA SANTA GERTRUDES,395365,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1338,CTO-CMP-00187,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200588","-22,644776",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00187,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,62,,RUA THELMA DE ALMEIDA,396655,EXTINTA ESTACAO EXPERIMENTAL DE SERICULTURA,12684,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1349,CTO-CMP-00188,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D1352,CTO-CMP-00189,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,204298","-22,647784",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00189,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,40,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1357,CTO-CMP-00190,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,20269","-22,648509",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00190,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,242,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1360,CTO-CMP-00191,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,20171","-22,648965",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00191,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,342,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1363,CTO-CMP-00192,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200875","-22,649358",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00192,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,436,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1365,CTO-CMP-00193,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200334","-22,649609",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00193,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,133,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1367,CTO-CMP-00194,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,2002","-22,642935",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00194,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,173,,RUA 15 DE NOVEMBRO,396893,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1368,CTO-CMP-00195,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,199493","-22,649969",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00195,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,625,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1370,CTO-CMP-00196,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,199627","-22,643207",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00196,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,235,,RUA 15 DE NOVEMBRO,396893,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1371,CTO-CMP-00197,,,,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,198554","-22,650395",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00197,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,729,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
CTO-CMP-00198,CTO-CMP-00198,D1371,,Ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200803","-22,642645",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00198,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,101,,RUA 15 DE NOVEMBRO,396893,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1374,CTO-CMP-00199,,,ok,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,197657","-22,650788",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00199,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,831,,RUA ADAO MARTELLI,394286,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1380,CTO-CMP-00200,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,20218","-22,642693",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00200,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,400,,RUA CORONEL SILVA TELES,396652,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1384,CTO-CMP-00201,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202997","-22,643315",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00201,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,201,,RUA CORONEL SILVA TELES,396652,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1386,CTO-CMP-00202,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,203611","-22,643786",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00202,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,195,,RUA CORONEL SILVA TELES,396652,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1389,CTO-CMP-00203,,,ok,3,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,204437","-22,644441",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00203,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,95,,RUA CORONEL SILVA TELES,396652,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1392,CTO-CMP-00204,,,ok,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,203996","-22,644643",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00204,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,217,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1393,CTO-CMP-00205,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200732","-22,650418",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00205,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,497,,RUA DOUTOR MOACIR COSTA COUTO,396141,JARDIM BELA VISTA III,12689,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1395,CTO-CMP-00206,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,203578","-22,644959",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00206,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,145,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1398,CTO-CMP-00207,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,203908","-22,645046",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00207,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,46,,RUA ANTONIO TAVANO,394572,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1399,CTO-CMP-00208,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202615","-22,649609",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00208,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,101,,RUA DOUTOR MOACIR COSTA COUTO,396141,JARDIM BELA VISTA III,12689,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1400,CTO-CMP-00209,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,204742","-22,643799",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00209,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,101,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1402,CTO-CMP-00210,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,203329","-22,649282",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00210,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,55,,RUA DOUTOR MOACIR COSTA COUTO,396141,JARDIM BELA VISTA III,12689,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1403,CTO-CMP-00211,,,ok,2,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,205313","-22,643177",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00211,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,147,,RUA EXPEDICIONARIOS,395112,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1407,CTO-CMP-00212,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,203407","-22,644678",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00212,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,155,,RUA ANTONIO TAVANO,394572,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1408,CTO-CMP-00213,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,204492","-22,649265",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00213,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,81,,AVENIDA RAUL VERONEZI,396418,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1409,CTO-CMP-00214,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202921","-22,644302",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00214,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,249,,RUA ANTONIO TAVANO,394572,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1411,CTO-CMP-00215,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,201657","-22,643316",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00215,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,367,,RUA ANTONIO TAVANO,394572,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1414,CTO-CMP-00216,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,200722","-22,643358",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00216,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,34,,RUA VITORIO MARTELLI,396666,SANTO ANTONIO,12736,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1424,CTO-CMP-00217,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,182042","-22,650231",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00217,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,114,,RUA GEORGE KIOSIA,395360,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1441,CTO-CMP-00218,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,178011","-22,643419",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00218,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,105,,RUA ADRIANO CATTOZZI,394293,PARQUE RESIDENCIAL ROSAMELIA,12719,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1450,CTO-CMP-00219,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,177482","-22,643735",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00219,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,125,,RUA VALTER ZACHARIAS,396659,PARQUE RESIDENCIAL ROSAMELIA II,12720,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D1452,CTO-CMP-00220,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,177072","-22,643293",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00220,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,201,,RUA VALTER ZACHARIAS,396659,PARQUE RESIDENCIAL ROSAMELIA II,12720,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
